st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
36093020900,10580,"Albany-Schenectady-Troy, NY ",369.70001,37.724491
36091060200,10580,"Albany-Schenectady-Troy, NY ",494.39999,57.02422
36093021800,10580,"Albany-Schenectady-Troy, NY ",712.47998,54.016678
36093032402,10580,"Albany-Schenectady-Troy, NY ",307.67999,37.891624
36091061500,10580,"Albany-Schenectady-Troy, NY ",27.875551,21.117842
36001002600,10580,"Albany-Schenectady-Troy, NY ",507.75299,56.043377
36093032300,10580,"Albany-Schenectady-Troy, NY ",284.60001,67.600952
36091060602,10580,"Albany-Schenectady-Troy, NY ",289.60284,67.977325
36001013602,10580,"Albany-Schenectady-Troy, NY ",429.59796,30.908228
36001000502,10580,"Albany-Schenectady-Troy, NY ",314.88,50.542538
36091060902,10580,"Albany-Schenectady-Troy, NY ",206.72206,66.045387
36083051902,10580,"Albany-Schenectady-Troy, NY ",22,32.35294
36001014700,10580,"Albany-Schenectady-Troy, NY ",8.2144518,12.637618
36091062406,10580,"Albany-Schenectady-Troy, NY ",275.61234,54.576698
36001013506,10580,"Albany-Schenectady-Troy, NY ",589.44135,52.441402
36083040400,10580,"Albany-Schenectady-Troy, NY ",575.21594,68.102379
36091062503,10580,"Albany-Schenectady-Troy, NY ",203.48,50.491314
36001012700,10580,"Albany-Schenectady-Troy, NY ",232.28,22.142994
36001013601,10580,"Albany-Schenectady-Troy, NY ",987.71204,68.20813
36083052403,10580,"Albany-Schenectady-Troy, NY ",261.05396,34.946983
36093032700,10580,"Albany-Schenectady-Troy, NY ",319.48001,75.706161
36091060102,10580,"Albany-Schenectady-Troy, NY ",299.92184,42.663136
36093021400,10580,"Albany-Schenectady-Troy, NY ",421.79999,60.865799
36001014615,10580,"Albany-Schenectady-Troy, NY ",489.28156,50.234245
36093020300,10580,"Albany-Schenectady-Troy, NY ",181,42.588234
36083040800,10580,"Albany-Schenectady-Troy, NY ",387.87897,58.416969
36095740600,10580,"Albany-Schenectady-Troy, NY ",77.416161,60.957607
36001001100,10580,"Albany-Schenectady-Troy, NY ",510.67587,49.67664
36001013901,10580,"Albany-Schenectady-Troy, NY ",20.639999,42.122448
36001001802,10580,"Albany-Schenectady-Troy, NY ",555.64063,60.634293
36091060901,10580,"Albany-Schenectady-Troy, NY ",94.694389,53.803631
36091060503,10580,"Albany-Schenectady-Troy, NY ",66.010162,73.344627
36083052203,10580,"Albany-Schenectady-Troy, NY ",225.22672,63.26593
36001001600,10580,"Albany-Schenectady-Troy, NY ",765.78778,57.319447
36083040200,10580,"Albany-Schenectady-Troy, NY ",906.5,74.793732
36091061702,10580,"Albany-Schenectady-Troy, NY ",125.1824,34.580772
36001014402,10580,"Albany-Schenectady-Troy, NY ",268.52072,59.037331
36083052402,10580,"Albany-Schenectady-Troy, NY ",44,89.795921
36093032200,10580,"Albany-Schenectady-Troy, NY ",344.88,77.154366
36001002200,10580,"Albany-Schenectady-Troy, NY ",413.67496,39.700092
36093032504,10580,"Albany-Schenectady-Troy, NY ",11.858261,32.939613
36001014203,10580,"Albany-Schenectady-Troy, NY ",234.03999,48.455486
36093032102,10580,"Albany-Schenectady-Troy, NY ",10,27.777779
36083051500,10580,"Albany-Schenectady-Troy, NY ",552.20001,63.471264
36093020800,10580,"Albany-Schenectady-Troy, NY ",605.43829,51.879887
36001002500,10580,"Albany-Schenectady-Troy, NY ",796,59.138187
36001014201,10580,"Albany-Schenectady-Troy, NY ",241.85466,38.147423
36001000700,10580,"Albany-Schenectady-Troy, NY ",501.30219,46.502987
36001014608,10580,"Albany-Schenectady-Troy, NY ",154.12961,60.206879
36091062601,10580,"Albany-Schenectady-Troy, NY ",7.1697216,15.254726
36083041000,10580,"Albany-Schenectady-Troy, NY ",497.8985,44.994591
36001014401,10580,"Albany-Schenectady-Troy, NY ",251.49951,67.942009
36001013508,10580,"Albany-Schenectady-Troy, NY ",211.39975,26.624653
36091062501,10580,"Albany-Schenectady-Troy, NY ",27,36
36001014609,10580,"Albany-Schenectady-Troy, NY ",491.69815,35.733879
36001001700,10580,"Albany-Schenectady-Troy, NY ",393.99921,38.10437
36001014612,10580,"Albany-Schenectady-Troy, NY ",119.81575,71.425194
