st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
36083052501,10580,"Albany-Schenectady-Troy, NY ",2.131619,Below 10%,168.59428
36091062200,10580,"Albany-Schenectady-Troy, NY ",17.567568,10-19.9%,697.3548
36083052103,10580,"Albany-Schenectady-Troy, NY ",9.680851,Below 10%,51.848705
36091060101,10580,"Albany-Schenectady-Troy, NY ",6.0926561,Below 10%,112.37138
36001014615,10580,"Albany-Schenectady-Troy, NY ",10.175055,10-19.9%,489.28156
36093020102,10580,"Albany-Schenectady-Troy, NY ",32.58532,30-39.9%,645.38666
36091060300,10580,"Albany-Schenectady-Troy, NY ",7.5681129,Below 10%,138.91939
36001000501,10580,"Albany-Schenectady-Troy, NY ",45.555222,40% or higher,730.91998
36093021800,10580,"Albany-Schenectady-Troy, NY ",6.848681,Below 10%,712.47998
36093033003,10580,"Albany-Schenectady-Troy, NY ",4.7253833,Below 10%,190.1906
36091060901,10580,"Albany-Schenectady-Troy, NY ",2.6220145,Below 10%,94.694389
36001002200,10580,"Albany-Schenectady-Troy, NY ",12.750306,10-19.9%,413.67496
36095740100,10580,"Albany-Schenectady-Troy, NY ",11.723993,10-19.9%,258.64981
36001014301,10580,"Albany-Schenectady-Troy, NY ",13.956387,10-19.9%,269.95294
36083052402,10580,"Albany-Schenectady-Troy, NY ",3.759058,Below 10%,44
36091062506,10580,"Albany-Schenectady-Troy, NY ",1.6245488,Below 10%,103.24
36093032300,10580,"Albany-Schenectady-Troy, NY ",2.1594033,Below 10%,284.60001
36093032402,10580,"Albany-Schenectady-Troy, NY ",7.821229,Below 10%,307.67999
36083041300,10580,"Albany-Schenectady-Troy, NY ",28.508123,20-29.9%,279.56
36091062000,10580,"Albany-Schenectady-Troy, NY ",6.7840734,Below 10%,257.07098
36083052602,10580,"Albany-Schenectady-Troy, NY ",6.6433568,Below 10%,123
36001013100,10580,"Albany-Schenectady-Troy, NY ",22.63122,20-29.9%,540.5
36093020300,10580,"Albany-Schenectady-Troy, NY ",22.50423,20-29.9%,181
36001014203,10580,"Albany-Schenectady-Troy, NY ",2.7009952,Below 10%,234.03999
36083040400,10580,"Albany-Schenectady-Troy, NY ",44.100517,40% or higher,575.21594
36001001801,10580,"Albany-Schenectady-Troy, NY ",5.2260485,Below 10%,325.46838
36093033400,10580,"Albany-Schenectady-Troy, NY ",9.404563,Below 10%,213.84
36093020200,10580,"Albany-Schenectady-Troy, NY ",27.765535,20-29.9%,372.96219
36001000404,10580,"Albany-Schenectady-Troy, NY ",,Missing,0
36001013703,10580,"Albany-Schenectady-Troy, NY ",7.1102414,Below 10%,52
36001013802,10580,"Albany-Schenectady-Troy, NY ",4.7114763,Below 10%,13
36091060701,10580,"Albany-Schenectady-Troy, NY ",3.8255646,Below 10%,318.17566
36083040600,10580,"Albany-Schenectady-Troy, NY ",36.952126,30-39.9%,255.84
36083040100,10580,"Albany-Schenectady-Troy, NY ",34.753574,30-39.9%,612.24414
36001014001,10580,"Albany-Schenectady-Troy, NY ",8.8450708,Below 10%,381.23999
36091062509,10580,"Albany-Schenectady-Troy, NY ",2.28125,Below 10%,205.67999
36001001901,10580,"Albany-Schenectady-Troy, NY ",4.9072642,Below 10%,154.8
36091062700,10580,"Albany-Schenectady-Troy, NY ",4.5513444,Below 10%,333.39999
36093021600,10580,"Albany-Schenectady-Troy, NY ",21.091972,20-29.9%,249.03999
36083051500,10580,"Albany-Schenectady-Troy, NY ",23.170732,20-29.9%,552.20001
36095740700,10580,"Albany-Schenectady-Troy, NY ",11.504963,10-19.9%,372.54333
36083052301,10580,"Albany-Schenectady-Troy, NY ",0.70759225,Below 10%,55.504654
36091062507,10580,"Albany-Schenectady-Troy, NY ",3.2859244,Below 10%,267.14545
36001001400,10580,"Albany-Schenectady-Troy, NY ",10.313472,10-19.9%,1082.511
36083052204,10580,"Albany-Schenectady-Troy, NY ",0.65067101,Below 10%,49.862999
36091061901,10580,"Albany-Schenectady-Troy, NY ",5.6638913,Below 10%,1002.8885
36001013505,10580,"Albany-Schenectady-Troy, NY ",8.3508768,Below 10%,47.959999
36001014401,10580,"Albany-Schenectady-Troy, NY ",8.106576,Below 10%,251.49951
36083052201,10580,"Albany-Schenectady-Troy, NY ",3.0558722,Below 10%,120.68963
36083040900,10580,"Albany-Schenectady-Troy, NY ",23.33432,20-29.9%,566.71997
36083052003,10580,"Albany-Schenectady-Troy, NY ",4.6404896,Below 10%,26.856108
36083052101,10580,"Albany-Schenectady-Troy, NY ",10.638298,10-19.9%,12.52125
36091061800,10580,"Albany-Schenectady-Troy, NY ",7.2676578,Below 10%,506
